"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Ouder-Amstel"
"Nummer";"";"0437"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Gemeentehuis";"Jan Hekmanschool";"Het Kofschip";"De Aanbouw";"Dorpshuis"
"";"";"17";"Berkhout, F.J.";"0";"0";"0";"0";"0";"0"
"";"";"18";"Boon, S.O.";"0";"0";"0";"0";"0";"0"
"";"";"19";"de Kok, A.";"0";"0";"0";"0";"0";"0"
"";"";"20";"de Groot, A.R.";"1";"1";"0";"0";"0";"0"
"";"";"21";"Berkhout, H.A.";"1";"0";"0";"1";"0";"0"
"";"";"22";"Mooijekind, R.A.";"0";"0";"0";"0";"0";"0"
"";"";"23";"Eldering, C.H.";"0";"0";"0";"0";"0";"0"
"";"";"24";"Verbrugh, D.J.";"0";"0";"0";"0";"0";"0"
"";"";"25";"Koning, S.R.";"0";"0";"0";"0";"0";"0"
"";"";"26";"Kerklingh, H.K.";"1";"0";"0";"0";"0";"1"
"";"";"27";"Velzing, H.";"0";"0";"0";"0";"0";"0"
"";"";"28";"van Wely, L.F.A.M.";"0";"0";"0";"0";"0";"0"
"";"";"29";"Ankersmit, F.R.";"0";"0";"0";"0";"0";"0"
"";"";"30";"Cliteur, P.B.";"2";"0";"0";"0";"0";"2"
"17";"De Burger Beweging";"";"";"0";"0";"0";"0";"0";"0"
"";"";"1";"Vlems, A.M.";"0";"0";"0";"0";"0";"0"
"";"";"2";"de Louw, A.J.H.";"0";"0";"0";"0";"0";"0"
"";"";"3";"Rozendaal, H.A.";"0";"0";"0";"0";"0";"0"
"";"";"4";"van der Linde, R.A.";"0";"0";"0";"0";"0";"0"
"";"";"5";"Siegers, A.K.";"0";"0";"0";"0";"0";"0"
"";"";"6";"Mul, A.M.";"0";"0";"0";"0";"0";"0"
"";"";"7";"Migchels, A.R.P.";"0";"0";"0";"0";"0";"0"
"";"";"8";"Titarsole, A.J.";"0";"0";"0";"0";"0";"0"
"";"";"9";"Dubling, D.";"0";"0";"0";"0";"0";"0"
"";"";"10";"Ackerman, D.M.";"0";"0";"0";"0";"0";"0"
"";"";"11";"Holthuis, H.";"0";"0";"0";"0";"0";"0"
"";"";"12";"Bos, S.";"0";"0";"0";"0";"0";"0"
"";"";"13";"Vousten, G.J.H.";"0";"0";"0";"0";"0";"0"
"";"";"14";"Vogelaar, G.D.M.";"0";"0";"0";"0";"0";"0"
"";"";"15";"Bijl, J.H.";"0";"0";"0";"0";"0";"0"
"";"";"16";"van Steenbergen, J.T.";"0";"0";"0";"0";"0";"0"
"";"";"17";"Schönbeck, H.A.";"0";"0";"0";"0";"0";"0"
"";"";"18";"Hondema, A.R.";"0";"0";"0";"0";"0";"0"
"";"";"19";"Venema, J.";"0";"0";"0";"0";"0";"0"
"";"";"20";"Ghuijs, J.A.A.M.";"0";"0";"0";"0";"0";"0"
"";"";"21";"Kirpensteijn, J.J.";"0";"0";"0";"0";"0";"0"
"";"";"22";"Wilshaus, J.";"0";"0";"0";"0";"0";"0"
"";"";"23";"Jansen, C.P.M.";"0";"0";"0";"0";"0";"0"
"";"";"24";"Haccou, H.K.";"0";"0";"0";"0";"0";"0"
"";"";"25";"van der Vlist, L.";"0";"0";"0";"0";"0";"0"
"";"";"26";"Hupe, L.B.";"0";"0";"0";"0";"0";"0"
"";"";"27";"Bervoets, L.F.";"0";"0";"0";"0";"0";"0"
"";"";"28";"Janssen, M.";"0";"0";"0";"0";"0";"0"
"";"";"29";"Cornielje, M.J.M.";"0";"0";"0";"0";"0";"0"
"";"";"30";"Lamers, M.R.";"0";"0";"0";"0";"0";"0"
"";"";"31";"Hanff, M.J.";"0";"0";"0";"0";"0";"0"
"";"";"32";"van der Burgt, N.J.";"0";"0";"0";"0";"0";"0"
"";"";"33";"van Vliet, P.J.W.G.";"0";"0";"0";"0";"0";"0"
"";"";"34";"van de Graaf, M.J.";"0";"0";"0";"0";"0";"0"
"";"";"35";"Visser, O.J.";"0";"0";"0";"0";"0";"0"
"";"";"36";"Graafsma, R.A.J.";"0";"0";"0";"0";"0";"0"
"";"";"37";"Geelen, R.W.";"0";"0";"0";"0";"0";"0"
"";"";"38";"Swami-Persaud, R.H.";"0";"0";"0";"0";"0";"0"
"";"";"39";"Tourgaidis, W.";"0";"0";"0";"0";"0";"0"
"";"";"40";"Zoethout, S.";"0";"0";"0";"0";"0";"0"
"";"";"41";"Bruining, W.E.";"0";"0";"0";"0";"0";"0"
"";"";"42";"Massop, W.G.M.";"0";"0";"0";"0";"0";"0"
"18";"Vrijzinnige Partij";"";"";"7";"4";"0";"2";"0";"1"
"";"";"1";"Klein, N.P.M.";"4";"1";"0";"2";"0";"1"
"";"";"2";"Loomans, M.L.P.";"0";"0";"0";"0";"0";"0"
"";"";"3";"Wienbelt, M.C.";"0";"0";"0";"0";"0";"0"
"";"";"4";"Westenberg, A.A.";"0";"0";"0";"0";"0";"0"
"";"";"5";"Haddering, H.";"0";"0";"0";"0";"0";"0"
"";"";"6";"Smit, W.F.";"1";"1";"0";"0";"0";"0"
"";"";"7";"Lammers, R.";"0";"0";"0";"0";"0";"0"
"";"";"8";"Kuijpers, J.G.L.";"0";"0";"0";"0";"0";"0"
"";"";"9";"Byrde, Y.A.C.";"0";"0";"0";"0";"0";"0"
"";"";"10";"Huigens, A.F.J.";"0";"0";"0";"0";"0";"0"
"";"";"11";"Seelig, D.A.";"0";"0";"0";"0";"0";"0"
"";"";"12";"Vorswijk, M.K.";"2";"2";"0";"0";"0";"0"
"";"";"13";"Zandberg, J.G.";"0";"0";"0";"0";"0";"0"
"";"";"14";"Stassen, L.B.";"0";"0";"0";"0";"0";"0"
"19";"GeenPeil";"";"";"10";"1";"0";"3";"3";"3"
"";"";"1";"Dijkgraaf, J.";"7";"0";"0";"2";"2";"3"
"";"";"2";"Dreijer, H.B.E.";"1";"0";"0";"1";"0";"0"
"";"";"3";"Aarad, A.";"0";"0";"0";"0";"0";"0"
"";"";"4";"Reijnaers, D.J.W.";"0";"0";"0";"0";"0";"0"
"";"";"5";"Klaver, C.";"0";"0";"0";"0";"0";"0"
"";"";"6";"Akdo?an, A.";"0";"0";"0";"0";"0";"0"
"";"";"7";"de Swart, N.C.";"0";"0";"0";"0";"0";"0"
"";"";"8";"Riemer, G.J.";"1";"1";"0";"0";"0";"0"
"";"";"9";"Groenewoud, V.B.";"0";"0";"0";"0";"0";"0"
"";"";"10";"Giebels, S.";"0";"0";"0";"0";"0";"0"
"";"";"11";"Bal, A.";"0";"0";"0";"0";"0";"0"
"";"";"12";"Brante, M.C.";"1";"0";"0";"0";"1";"0"
"";"";"13";"de Dood, H.J.M.";"0";"0";"0";"0";"0";"0"
"";"";"14";"de Konink, S.A.M.M.";"0";"0";"0";"0";"0";"0"
"20";"Piratenpartij";"";"";"30";"6";"2";"10";"5";"7"
"";"";"1";"van de Leest, A.T.";"26";"5";"2";"8";"4";"7"
"";"";"2";"Pontier, M.A.";"2";"1";"0";"1";"0";"0"
"";"";"3";"Brouwer, H.A.";"0";"0";"0";"0";"0";"0"
"";"";"4";"Straver, A.T.E.";"0";"0";"0";"0";"0";"0"
"";"";"5";"Downs-Hovestadt, P.M.H.";"0";"0";"0";"0";"0";"0"
"";"";"6";"Feitsma, T.T.";"0";"0";"0";"0";"0";"0"
"";"";"7";"Lensink, M.C.";"0";"0";"0";"0";"0";"0"
"";"";"8";"Janssen, L.D.";"0";"0";"0";"0";"0";"0"
"";"";"9";"Sikkema, G.B.";"0";"0";"0";"0";"0";"0"
"";"";"10";"Dulfer, M.";"0";"0";"0";"0";"0";"0"
"";"";"11";"Huurman, R.J.";"0";"0";"0";"0";"0";"0"
"";"";"12";"Dieleman, B.";"0";"0";"0";"0";"0";"0"
"";"";"13";"Peskens, G.L.J.";"0";"0";"0";"0";"0";"0"
"";"";"14";"Maessen, W.M.M.";"0";"0";"0";"0";"0";"0"
"";"";"15";"Hallegraeff, D.S.";"0";"0";"0";"0";"0";"0"
"";"";"16";"de Jong, J.T.";"1";"0";"0";"1";"0";"0"
"";"";"17";"Batstra, J.";"0";"0";"0";"0";"0";"0"
"";"";"18";"van der Velde, V.C.";"1";"0";"0";"0";"1";"0"
"";"";"19";"Wijnans, F.P.E.";"0";"0";"0";"0";"0";"0"
"";"";"20";"van Oudheusden, L.J.";"0";"0";"0";"0";"0";"0"
"";"";"21";"Kleinpaste, G.J.";"0";"0";"0";"0";"0";"0"
"";"";"22";"Stubbe, M.";"0";"0";"0";"0";"0";"0"
"";"";"23";"Borghuis ook genaamd op de Borg, D.R.";"0";"0";"0";"0";"0";"0"
"";"";"24";"Schönberger, R.A.";"0";"0";"0";"0";"0";"0"
"";"";"25";"van Luxzenburg, E.";"0";"0";"0";"0";"0";"0"
"";"";"26";"Bouyaara, O.";"0";"0";"0";"0";"0";"0"
"";"";"27";"van den Dool, C.W.";"0";"0";"0";"0";"0";"0"
"";"";"28";"Hofman, E.D.";"0";"0";"0";"0";"0";"0"
"";"";"29";"Pasterkamp, J.D.";"0";"0";"0";"0";"0";"0"
"";"";"30";"van Vuuren, M.";"0";"0";"0";"0";"0";"0"
"";"";"31";"Biesma, A.R.";"0";"0";"0";"0";"0";"0"
"";"";"32";"Gautier, J.T.N.";"0";"0";"0";"0";"0";"0"
"";"";"33";"van Ravensteijn, L.S.";"0";"0";"0";"0";"0";"0"
"";"";"34";"Ziegler, F.C.";"0";"0";"0";"0";"0";"0"
"";"";"35";"Ventevogel, T.C.";"0";"0";"0";"0";"0";"0"
"";"";"36";"Chaudry, K.A.";"0";"0";"0";"0";"0";"0"
"";"";"37";"Poot, D.";"0";"0";"0";"0";"0";"0"
"21";"Artikel 1";"";"";"56";"3";"0";"3";"10";"40"
"";"";"1";"Simons, S.H.";"50";"2";"0";"3";"8";"37"
"";"";"2";"Faïd, F.";"3";"0";"0";"0";"1";"2"
"";"";"3";"Sins, B.E.";"0";"0";"0";"0";"0";"0"
"";"";"4";"Akhechaa, A.";"0";"0";"0";"0";"0";"0"
"";"";"5";"van Tricht, J.H.";"0";"0";"0";"0";"0";"0"
"";"";"6";"van der Kooye, M.I.D.";"0";"0";"0";"0";"0";"0"
"";"";"7";"Döll-Osei Ameyaw, P.";"1";"0";"0";"0";"1";"0"
"";"";"8";"van Saarloos, S.C.";"0";"0";"0";"0";"0";"0"
"";"";"9";"Basabose, O.";"0";"0";"0";"0";"0";"0"
"";"";"10";"Dekker, M.";"0";"0";"0";"0";"0";"0"
"";"";"11";"Hernández González, J.";"0";"0";"0";"0";"0";"0"
"";"";"12";"Witte, R.S.B.";"0";"0";"0";"0";"0";"0"
"";"";"13";"van de Vaate, G.";"0";"0";"0";"0";"0";"0"
"";"";"14";"Leito, M.T.";"0";"0";"0";"0";"0";"0"
"";"";"15";"van der Veen, J.";"0";"0";"0";"0";"0";"0"
"";"";"16";"Bakker, A.M.T.";"0";"0";"0";"0";"0";"0"
"";"";"17";"Wertheim, A.R.";"0";"0";"0";"0";"0";"0"
"";"";"18";"Helberg, G.O.";"0";"0";"0";"0";"0";"0"
"";"";"19";"Wekker, G.D.";"1";"0";"0";"0";"0";"1"
"";"";"20";"Meulenbelt, A.H.";"1";"1";"0";"0";"0";"0"
"22";"Niet Stemmers";"";"";"11";"2";"0";"1";"2";"6"
"";"";"1";"Plasman, J.P.";"9";"1";"0";"1";"1";"6"
"";"";"2";"Plasman, R.";"0";"0";"0";"0";"0";"0"
"";"";"3";"Plasman, R.";"1";"0";"0";"0";"1";"0"
"";"";"4";"van Vliet, W.";"0";"0";"0";"0";"0";"0"
"";"";"5";"El Farougui, N.";"0";"0";"0";"0";"0";"0"
"";"";"6";"Rhee, R.P.R.";"0";"0";"0";"0";"0";"0"
"";"";"7";"Schwab, M.";"0";"0";"0";"0";"0";"0"
"";"";"8";"Karga, Y.";"0";"0";"0";"0";"0";"0"
"";"";"9";"Konya, S.";"0";"0";"0";"0";"0";"0"
"";"";"10";"Held, R.A.J.";"0";"0";"0";"0";"0";"0"
"";"";"11";"Pentinga, C.H.";"0";"0";"0";"0";"0";"0"
"";"";"12";"Plasman-van Ligten, J.C.";"1";"1";"0";"0";"0";"0"
"24";"Lokaal in de Kamer";"";"";"3";"0";"0";"2";"1";"0"
"";"";"1";"Heijman, J.H.W.F.";"2";"0";"0";"1";"1";"0"
"";"";"2";"van der Starre, J.J.";"0";"0";"0";"0";"0";"0"
"";"";"3";"Stultiens, R.M.M.";"0";"0";"0";"0";"0";"0"
"";"";"4";"Leever, J.H.";"0";"0";"0";"0";"0";"0"
"";"";"5";"Kunst-van Suijlekom, G.P.";"1";"0";"0";"1";"0";"0"
"";"";"6";"Kraaijenbrink, R.A.";"0";"0";"0";"0";"0";"0"
"";"";"7";"Mandersloot, W.J.";"0";"0";"0";"0";"0";"0"
"";"";"8";"van Pinxteren, W.F.C.";"0";"0";"0";"0";"0";"0"
"";"";"9";"Nieuwenhuizen, N.";"0";"0";"0";"0";"0";"0"
"";"";"10";"de Heer-Seveke, Y.J.P.M.";"0";"0";"0";"0";"0";"0"
"";"";"11";"van Ruitenbeek-Schonewille, J.M.";"0";"0";"0";"0";"0";"0"
"";"";"12";"El-Khassim, F.";"0";"0";"0";"0";"0";"0"
"";"";"13";"Smit, F.";"0";"0";"0";"0";"0";"0"
"";"";"14";"van der Kraats, A.B.";"0";"0";"0";"0";"0";"0"
"";"";"15";"van de Sande, M.A.";"0";"0";"0";"0";"0";"0"
"";"";"16";"Jansen, D.S.C.";"0";"0";"0";"0";"0";"0"
"";"";"17";"Kwekkeboom, J.A.";"0";"0";"0";"0";"0";"0"
"";"";"18";"Rosbak, E.R.";"0";"0";"0";"0";"0";"0"
"";"";"19";"Louis, I.H.";"0";"0";"0";"0";"0";"0"
"";"";"20";"Bolders, L.M.";"0";"0";"0";"0";"0";"0"
"";"";"21";"van der Velde, A.";"0";"0";"0";"0";"0";"0"
"";"";"22";"Frieman, H.B.";"0";"0";"0";"0";"0";"0"
"";"";"23";"Valent-Groot, A.M.";"0";"0";"0";"0";"0";"0"
"";"";"24";"de Bree, C.M.";"0";"0";"0";"0";"0";"0"
"";"";"25";"Barends, R.";"0";"0";"0";"0";"0";"0"
"";"";"26";"Dirkmaat, G.B.";"0";"0";"0";"0";"0";"0"
"";"";"27";"Kloos, C.H.";"0";"0";"0";"0";"0";"0"
