Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;;;;;;;
Gebied;;Gemeente Brunssum;;;;;;;;;;;;;;;;
Nummer;;899;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;D'r Brikkeoave;Parochiezaal Gregorius-kerk;zaal cafe De Kroeg;Verpleeghuis Schuttershof;BS Meander;Zorgcentrum Huize Louise;Speeltuingebouw Buschkesberg;Brede School Langeberg;Verenigingsgebouw De Burcht;Parochiezaaltje Barbara-kerk;Trefcentrum;Zorgcentrum Emmastaete;Basisschool Fatima;Microhal Brunssum-Noord
;;25;Heere, T.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Haasnoot, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van Orsouw, J.H.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Molenaar, R.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;29;Haije, A.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Spooren, A.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;de Meij, O.A.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van Wanrooij, A.C.P.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;33;Brouwers, J.F.X.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;van Hulst, J.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Gralike, R.B.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Bergwerf, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Lernout, G.L.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Taks, J.P.W.A.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;van Bree, M.L.F.;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;40;de Vries, D.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Gertsen, J.W.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Meijer, H.;139;19;11;6;5;7;8;2;11;4;16;11;6;8;25
;;43;van Zanten, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;ten Cate, H.J.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;45;Rose, F.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Lamberts, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;de Vries, A.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;van de Wal, H.J.C.M.;4;0;2;1;0;0;0;1;0;0;0;0;0;0;0
;;49;Hoek, W.M.M.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;50;Struijlaard, J.W.A.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1
12;OndernemersPartij;;;27;3;0;1;0;2;1;1;0;1;8;0;2;3;5
;;1;Brinkman, H.;18;3;0;1;0;2;0;1;0;1;2;0;2;2;4
;;2;Gaasbeek, M.;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;3;de Vries, J.L.G.;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;4;Kicken, J.M.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;van den Berg, J.O.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;de Koning, M.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;7;Theocharis, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Andriol, S.J.R.;3;0;0;0;0;0;1;0;0;0;1;0;0;1;0
;;9;Bol, R.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Reitsma, H.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Wood, D.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;VNL (VoorNederland);;;74;1;3;9;1;10;1;7;0;9;8;6;5;4;10
;;1;Roos, J.H.;52;1;1;6;1;10;0;6;0;5;5;2;4;3;8
;;2;van Klaveren, J.J.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;3;Bontes, L.;5;0;2;0;0;0;1;0;0;0;2;0;0;0;0
;;4;Hoogwerf, T.C.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;5;Sassen, J.H.N.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Versteeg, M.A.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;de Laat, J.M.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;8;van der Meer, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Vermaas, P.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Himpers, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van Gemert, R.J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Oosterhagen, H.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Molema, J.F.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;de Gast, A.L.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Chandarsing, A.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van Tiggelen, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;de Veth, C.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Stassen, L.J.A.J.;14;0;0;3;0;0;0;1;0;4;0;3;0;1;2
14;DENK;;;88;3;6;6;1;4;7;0;2;0;5;8;6;3;37
;;1;Kuzu, T.;26;1;2;1;0;3;1;0;0;0;1;5;1;3;8
;;2;Azarkan, F.;55;2;4;4;1;1;6;0;2;0;4;3;3;0;25
;;3;Öztürk, S.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1
;;4;Albitrouw, G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;van Baarle, S.R.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Charlot, M.J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Taimounti, M.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1
;;8;Kiliç, A.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;9;Koolbergen, M.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Tsouli, A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;11;van Splunter, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Uysal, ?.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Karaman, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Raja, T.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Kayi?, Y.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Rana, M.Z.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Demirel, N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Ince, K.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
15;NIEUWE WEGEN;;;29;2;2;2;0;5;0;1;0;3;2;2;5;1;4
;;1;Oosenbrug, A.;13;1;1;0;0;3;0;0;0;3;1;1;2;0;1
;;2;Monasch, J.S.;4;0;0;0;0;1;0;0;0;0;0;0;0;1;2
;;3;Beemsterboer, R.J.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4;Ekiz, I.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Spitsbaard, A.W.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;6;Verstappen, J.H.M.;4;0;0;1;0;0;0;0;0;0;1;1;1;0;0
;;7;Thiemann, J.H.;4;1;0;1;0;1;0;0;0;0;0;0;1;0;0
;;8;Vianen-van der Geest, G.C.J.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;9;Jochems, I.C.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;van Leeuwen, C.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Durgaram, R.M.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;van Duijvenvoorde, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Dijkstra, S.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;de Vries, Y.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Scheyen, I.S.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;de Jong, B.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Leeuwen, G.L.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Pijpker, J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;19;van Eldik, D.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Willemstein, J.S.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Komdeur, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Dijken, R.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Heyser, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van Gessel, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Haak, M.H.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Visscher, K.J.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Hurtado-Panek, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van der Maas, W.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;de Boer, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Buchel, L.G.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;Forum voor Democratie;;;322;20;15;23;13;22;22;19;16;17;31;24;30;26;44
;;1;Baudet, T.H.P.;190;11;7;18;8;12;12;11;9;7;21;14;14;17;29
;;2;Hiddema, T.U.;117;8;8;5;5;8;10;8;6;9;8;9;13;9;11
;;3;Teunissen, S.M.;11;1;0;0;0;1;0;0;1;1;1;0;3;0;3
;;4;Otten, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Frentrop, P.M.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Rooken, R.J.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;7;Stolze-van Rijn, S.E.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;8;Reedijk, G.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Ramautarsing, Y.J.S.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;10;Brouwer, Z.M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;de Vries, J.W.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Legger, A.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Dieudonné, C.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Assen, G.J.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Jeelof, G.W.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Boltjes, L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Berkhout, F.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Boon, S.O.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;de Kok, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;de Groot, A.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Berkhout, H.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Mooijekind, R.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Eldering, C.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Verbrugh, D.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Koning, S.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Kerklingh, H.K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Velzing, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van Wely, L.F.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Ankersmit, F.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Cliteur, P.B.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
17;De Burger Beweging;;;12;0;2;2;0;2;0;0;0;1;0;0;1;1;3
;;1;Vlems, A.M.;4;0;0;0;0;1;0;0;0;1;0;0;1;1;0
;;2;de Louw, A.J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;3;Rozendaal, H.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;4;van der Linde, R.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Siegers, A.K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Mul, A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Migchels, A.R.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Titarsole, A.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Dubling, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Ackerman, D.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Holthuis, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Bos, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Vousten, G.J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Vogelaar, G.D.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Bijl, J.H.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;16;van Steenbergen, J.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Schönbeck, H.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Hondema, A.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Venema, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Ghuijs, J.A.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Kirpensteijn, J.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Wilshaus, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Jansen, C.P.M.;5;0;2;0;0;1;0;0;0;0;0;0;0;0;2
;;24;Haccou, H.K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van der Vlist, L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Hupe, L.B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Bervoets, L.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Janssen, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Cornielje, M.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Lamers, M.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Hanff, M.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van der Burgt, N.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;van Vliet, P.J.W.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;van de Graaf, M.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Visser, O.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Graafsma, R.A.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Geelen, R.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Swami-Persaud, R.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Tourgaidis, W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Zoethout, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Bruining, W.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Massop, W.G.M.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
18;Vrijzinnige Partij;;;5;0;0;0;0;1;0;0;1;0;1;0;0;0;2
;;1;Klein, N.P.M.;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;2;Loomans, M.L.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;3;Wienbelt, M.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4;Westenberg, A.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Haddering, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Smit, W.F.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;7;Lammers, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Kuijpers, J.G.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Byrde, Y.A.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Huigens, A.F.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Seelig, D.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Vorswijk, M.K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Zandberg, J.G.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;14;Stassen, L.B.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
19;GeenPeil;;;7;1;0;0;0;2;0;1;0;0;0;1;0;0;2
;;1;Dijkgraaf, J.;6;1;0;0;0;2;0;1;0;0;0;1;0;0;1
;;2;Dreijer, H.B.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;3;Aarad, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4;Reijnaers, D.J.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Klaver, C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Akdo?an, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;de Swart, N.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Riemer, G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Groenewoud, V.B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Giebels, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Bal, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Brante, M.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;de Dood, H.J.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;14;de Konink, S.A.M.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;Piratenpartij;;;59;3;3;3;2;9;7;3;3;3;4;5;1;5;8
;;1;van de Leest, A.T.;57;3;3;3;2;9;7;3;3;3;4;5;1;4;7
;;2;Pontier, M.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;3;Brouwer, H.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4;Straver, A.T.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Downs-Hovestadt, P.M.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Feitsma, T.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Lensink, M.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Janssen, L.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Sikkema, G.B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Dulfer, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Huurman, R.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Dieleman, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Peskens, G.L.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Maessen, W.M.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Hallegraeff, D.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;de Jong, J.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Batstra, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van der Velde, V.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Wijnans, F.P.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van Oudheusden, L.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Kleinpaste, G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Stubbe, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Borghuis ook genaamd op de Borg, D.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Schönberger, R.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van Luxzenburg, E.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;26;Bouyaara, O.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van den Dool, C.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Hofman, E.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Pasterkamp, J.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;van Vuuren, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Biesma, A.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Gautier, J.T.N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;van Ravensteijn, L.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Ziegler, F.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Ventevogel, T.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Chaudry, K.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Poot, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Artikel 1;;;18;4;2;1;0;1;2;1;1;0;2;1;0;0;3
;;1;Simons, S.H.;16;4;2;1;0;1;2;1;0;0;2;0;0;0;3
;;2;Faïd, F.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;3;Sins, B.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4;Akhechaa, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;van Tricht, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;van der Kooye, M.I.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Döll-Osei Ameyaw, P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van Saarloos, S.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Basabose, O.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Dekker, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Hernández González, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Witte, R.S.B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;van de Vaate, G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Leito, M.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van der Veen, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Bakker, A.M.T.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;17;Wertheim, A.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Helberg, G.O.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Wekker, G.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Meulenbelt, A.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;Niet Stemmers;;;16;4;1;0;2;2;1;0;1;2;1;0;0;0;2
;;1;Plasman, J.P.;12;4;1;0;2;2;1;0;1;0;0;0;0;0;1
;;2;Plasman, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;3;Plasman, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4;van Vliet, W.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;5;El Farougui, N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Rhee, R.P.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Schwab, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Karga, Y.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Konya, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Held, R.A.J.;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;11;Pentinga, C.H.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;12;Plasman-van Ligten, J.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;Libertarische Partij (LP);;;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1
;;1;Valentine, R.W.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1
;;2;Inen, A.Q.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;3;Bouscher, N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4;Pailer, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Hampton, M.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Backhuijs, W.Q.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Wessels, I.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Knispel, K.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Wassenaar, K.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;van Ginkel, J.G.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;de Vries, A.J.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Jansen, N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Nagtegaal, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van der Wal, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Jansma, E.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Woudwijk, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Koopmans, S.F.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Manders, T.T.A.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
