Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hilversum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Raadhuis;Mozarthof School;Openbare Bibliotheek;Chr. Verpleeghuis 'Gooizicht';Zorgcentrum 'De Boomberg';Anna Gebouw;'Emmaushuis';Wijkcentrum 'De Koepel';Goudenregenschool Kerkelanden;Nieuw Kerkelanden;obs Elckerlycschool;Bavinckschool;Violenschool;Intern. school (vh Rembr.sch.);Hilversumse School Vereniging;Wijkcentrum 'De Zoutkeet';Verzorgingshuis 'Zuiderheide';Zorgcentrum 'St. Carolus'; Goudenregenschool;Woond.centr. 'De Egelantier';Diependaalse Kerk;Woondienstencentrum Lopes Dias;Fresh Forward;Da Costaschool;Sterrenschool Hilversum;Scouting clubhuis 'De Orion';Wijkcentrum De Geus;College de Opmaat;Sportcafé 'De Lieberg';Lorentzschool;Wijkcentrum 'St.Joseph';Gebouw 'Rotor Media';Evangelische Omroep;Zorgcentrum 'Gooiers Erf';Wijkcentrum 'De Kruisdam';Gebouw 'T Luye Gat';Station Hilversum;Ned. Inst. voor Beeld en Geluid
;;38;Staarink, I.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Müller, G.J.N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Feenstra, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Olierook, M.W.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;42;ten Heuw, M.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Helmer-Englebert, R.D.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0
;;44;Vliegenthart, A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Douw-van Dam, P.W.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Alberts-Oosterbaan, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Zoomermeijer, P.B.C.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Verweij, B.;124;4;0;1;0;2;3;3;0;2;2;3;1;2;2;1;5;2;1;5;5;0;16;4;5;4;3;6;5;7;6;10;1;3;2;7;1;0;0
;;49;van Dam, M.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Poppe, R.J.L.;4;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
5;CDA;;;4345;123;108;119;84;75;96;141;213;122;110;142;113;76;123;85;136;130;108;152;128;176;121;56;141;128;143;87;89;102;155;93;53;82;145;178;103;81;28
;;1;van Haersma Buma, S.;2847;72;73;70;56;55;69;92;149;85;80;95;70;49;79;48;85;96;78;100;95;120;85;39;89;83;93;57;58;66;112;60;26;41;98;110;58;43;13
;;2;Keijzer, M.C.G.;811;23;16;23;15;13;13;27;44;21;18;26;16;23;23;20;32;26;14;20;24;25;21;10;21;26;33;14;16;21;21;17;14;19;33;37;27;14;5
;;3;Peters, W.P.H.J.;13;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;2;0;0;0;1;0;0;0;0;0;1;2;1;0;0
;;4;Omtzigt, P.H.;255;12;7;14;4;2;7;10;10;4;4;9;13;3;7;8;4;3;7;10;5;13;5;1;8;5;10;5;4;4;10;7;1;3;5;12;11;6;2
;;5;van Toorenburg, M.M.;82;0;0;6;2;1;0;1;4;5;3;2;1;0;3;1;6;4;1;5;2;3;2;1;1;4;1;0;3;2;1;1;3;2;0;4;0;2;5
;;6;Knops, R.W.;12;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;1;1;0
;;7;Heerma, P.E.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;8;van der Molen, H.;12;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;4;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1
;;9;Bruins Slot, H.G.J.;65;6;3;1;1;0;1;3;3;1;1;4;2;0;4;1;0;1;2;0;0;5;2;0;4;2;1;2;0;2;2;1;0;1;1;1;2;4;1
;;10;Geurts, J.L.;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0
;;11;Kuik, A.;29;0;2;0;2;0;2;1;0;0;0;1;2;0;1;0;1;0;1;2;1;1;1;0;2;0;0;0;0;3;1;0;1;1;1;0;0;2;0
;;12;van Dam, C.J.L.;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;13;Mulder, A.H.;19;0;1;0;0;0;1;0;0;0;0;0;2;0;1;4;0;0;1;1;0;0;0;0;1;1;1;1;0;0;0;1;1;1;0;1;0;0;0
;;14;Rog, M.R.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;15;Amhaouch, M.;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0
;;16;van Helvert, M.J.F.;7;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0
;;17;Ronnes, H.A.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van den Berg-Jansen, J.A.M.J.;6;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Slootweg, E.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
;;20;Geluk-Poortvliet, L.W.D.;33;3;3;2;0;1;2;2;0;0;0;1;1;0;1;0;1;0;0;0;0;0;2;1;1;1;0;1;1;1;1;0;3;3;0;1;0;0;0
;;21;Palland, H.M.;12;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;3;0;2;0
;;22;de Pater-Postma, W.L.;11;2;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;1;1;0;0;0;0;0;0;0
;;23;Terpstra, J.H.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0
;;24;Steenbakkers, S.P.M.F.;4;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;25;van den Anker, G.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Heijnen, V.L.W.A.;9;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;1;0
;;27;den Bak, S.W.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;28;Schotman, C.J.;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Erkel, P.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Zwinkels, C.C.M.;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;31;Hanemaaijer, E.;3;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Hutten, G.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Kip, M.;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;34;van Mierlo, E.J.F.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;35;de Korte-Verhoef, M.C.;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;36;Bergkamp, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;de Haan, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van Opstal, J.M.M.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Gardeniers, B.H.M.;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1
;;40;Bal, M.;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;41;Vrugt, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van Dekken, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Vloet, W.J.M.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;von Martels, M.R.H.M.;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0
;;45;van der Broek, J.M.A.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Bond, J.H.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;?im?ek, F.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
;;48;Havelaar, R.B.;12;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;1;0;2;0;0;0;0;0;0;0;1;1;0;0;2;0
;;49;Sanderse, M.;13;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3;1;2;0
;;50;van Leeuwen, J.;16;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;1;1;1;0;0;5;0;2;0;0;0
6;Democraten 66 (D66);;;9036;392;245;293;183;215;231;231;225;124;103;244;367;244;327;224;207;167;268;281;272;303;202;83;235;280;343;176;243;251;375;188;132;136;218;263;198;444;123
;;1;Pechtold, A.;5743;232;164;163;113;146;154;128;152;88;79;156;220;156;201;124;130;113;174;171;164;183;146;50;151;169;232;113;158;162;235;131;86;85;149;180;136;268;81
;;2;van Veldhoven, S.;835;34;25;41;19;25;17;30;20;6;4;18;38;29;26;34;17;16;29;26;24;35;9;12;24;27;33;15;24;14;31;8;11;11;12;24;19;40;8
;;3;Koolmees, W.;70;4;1;3;5;1;2;1;2;3;0;1;0;2;1;3;0;1;3;4;1;2;1;1;0;6;0;2;2;0;5;0;0;3;1;1;1;4;3
;;4;Dijkstra, P.A.;1171;60;28;52;22;21;20;37;33;11;10;38;53;27;51;36;36;10;39;37;34;48;19;7;35;40;35;22;28;29;53;24;12;19;31;37;19;38;20
;;5;van Engelshoven, I.K.;86;1;8;6;3;2;2;2;0;2;2;1;4;2;6;2;0;1;1;6;2;0;2;1;1;4;3;0;2;2;3;2;4;1;0;1;0;6;1
;;6;Bergkamp, V.A.;216;16;4;5;4;2;4;4;3;3;2;8;9;7;7;5;3;10;6;10;10;7;2;3;3;7;10;8;4;3;12;5;0;1;3;3;4;17;2
;;7;Verhoeven, K.;59;4;0;1;1;5;2;3;1;1;0;5;3;0;1;0;1;1;0;1;1;1;3;1;0;2;2;3;2;1;2;1;0;0;3;0;1;6;0
;;8;van Meenen, P.H.;20;0;1;0;0;0;0;0;0;1;1;0;2;1;1;2;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;1;1
;;9;Paternotte, J.M.;17;0;0;0;1;0;1;0;0;0;0;0;0;0;3;1;0;1;0;1;1;1;0;0;0;0;1;2;0;1;0;0;0;0;1;0;0;2;0
;;10;Van Weyenberg, S.P.R.A.;19;3;0;0;1;1;3;0;1;0;0;0;0;1;0;0;0;0;1;1;0;3;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0
;;11;Sjoerdsma, S.W.;18;0;0;0;2;0;1;1;0;0;0;0;0;1;3;1;0;0;1;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0
;;12;Jetten, R.A.A.;16;2;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;1;0;0;1;0;1;0;0;0;1;0;0;2;0;2;0;0;1;0;1;0;0
;;13;Van Eijs, J.M.;95;6;1;5;0;3;3;2;1;0;1;0;4;5;2;4;3;1;2;0;4;2;1;2;1;3;5;2;5;6;4;3;1;2;0;2;1;6;2
;;14;Belhaj, S.;97;5;1;4;1;2;0;5;1;2;0;3;5;2;2;3;1;1;2;2;4;2;2;0;2;6;7;0;2;8;1;1;4;0;3;0;2;10;1
;;15;Groothuizen, M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Bouali, A.;33;1;0;1;1;0;3;0;1;2;0;0;2;1;0;1;1;0;0;0;1;0;5;0;2;1;0;1;0;0;0;2;2;0;0;4;0;1;0
;;17;Raemakers, R.;6;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;18;Diertens, A.E.;146;8;2;4;2;3;1;5;3;0;1;2;9;2;12;4;3;5;4;6;5;4;1;1;5;6;3;2;2;3;5;1;2;2;5;2;6;15;0
;;19;de Groot, T.C.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
;;20;den Boer, M.G.W.;117;3;5;7;3;1;5;5;2;1;0;0;6;2;1;0;4;0;1;2;5;5;1;1;2;3;5;0;4;7;12;0;4;3;3;3;2;8;1
;;21;Sienot, M.F.;11;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;1;0
;;22;Sneller, J.C.;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
;;23;Schonis, R.A.J.;8;0;0;0;0;0;1;0;0;0;0;3;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
;;24;van Beukering-Huijbregts, M.J.T.G.;42;1;1;0;1;1;0;1;0;0;1;0;4;0;3;0;3;2;2;2;1;1;1;1;0;1;2;1;0;2;2;3;0;0;1;2;0;2;0
;;25;Meijer, A.A.;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
;;26;Eurlings-Tonnaer, F.M.C.L.;19;1;0;0;0;0;1;0;0;1;0;2;1;0;1;0;0;0;0;0;2;0;0;0;1;0;1;0;0;1;2;0;0;2;1;0;1;1;0
;;27;Ramlal, M.R.;4;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van Bemmel, M.E.;20;1;1;1;0;0;0;1;0;0;1;1;1;2;0;1;0;3;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;2;1
;;29;Lamers, C.B.M.;9;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0
;;30;van Essen, J.;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;31;Verbrugge-Wormgoor, D.C.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;32;van der Laan, J.M.P.;13;0;0;0;1;0;1;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0
;;33;Zarroy, N.;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;34;Winkel, B.T.;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
;;35;Bamenga, P.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;36;Sanders, N.P.C.;23;0;0;0;0;1;0;0;2;0;0;2;1;1;0;0;0;0;1;0;3;0;0;1;2;1;0;0;1;1;2;0;1;0;1;0;0;1;1
;;37;Guernaoui, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Kat, H.;30;2;0;0;1;1;3;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;3;0;3;1;0;0;3;3;1;3;1;0;0;0;0;2;0
;;39;Keij, E.J.;6;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Bosman, A.M.;6;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
;;41;Schukking, S.S.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;42;Schepel, W.D.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Glastra van Loon, J.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;van Vugt, T.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;45;van Dun, C.M.;13;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;2;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;3;0
;;46;Wirken, S.T.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;de Smoker-van Andel, N.;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;48;Hoogeveen, T.C.;13;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;2;0;1;0;0;1;0;1;0;0
;;49;Terlouw, G.;6;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0
;;50;Ross, H.J.;8;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
7;ChristenUnie;;;1441;31;16;30;23;33;38;41;54;34;29;53;56;41;42;17;43;46;51;31;25;41;52;18;60;58;48;17;40;38;76;38;20;38;56;31;25;36;15
;;1;Segers, G.M.;993;19;8;18;15;30;24;32;37;28;24;37;39;29;24;11;26;38;38;23;20;24;36;10;41;38;31;12;27;23;55;30;14;23;42;23;14;20;10
;;2;Schouten, C.J.;178;4;4;8;0;1;6;3;7;2;0;6;8;0;4;3;8;2;6;1;4;7;4;3;11;8;9;2;1;6;9;4;5;6;9;0;8;8;1
;;3;Voordewind, J.S.;36;0;0;0;0;0;2;1;2;1;2;0;1;2;2;1;2;0;2;2;0;2;0;1;1;1;1;0;0;1;1;0;0;2;2;1;1;1;1
;;4;Dik-Faber, R.K.;32;2;0;0;2;0;1;2;0;0;0;2;0;0;1;1;2;1;0;3;0;2;1;0;1;2;2;1;1;1;1;0;0;0;0;1;0;2;0
;;5;Bruins, E.E.W.;17;3;0;0;5;0;0;0;3;0;1;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;6;van der Graaf, S.J.F.;42;0;0;1;0;0;1;0;0;1;2;2;3;2;5;0;1;0;0;1;0;0;1;0;2;1;3;0;3;2;3;1;0;1;2;1;0;1;2
;;7;Ceder, D.G.M.;47;2;0;0;0;1;4;1;0;2;0;3;2;0;2;0;1;3;2;0;0;2;3;2;0;4;1;0;1;2;2;0;0;4;0;0;0;3;0
;;8;Vreugdenhil, H.J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
;;9;Drost, N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Gooijer-Medema, J.K.;11;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;1;2;0;0;0;0;0;0;1;0;0;0
;;11;Huisman, G.W.;4;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;12;Rots, D.G.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;;13;Tijhof, B.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Grinwis, P.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Vlieg-Kempe, H.A.;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Meijer, L.E.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;17;Janssen, J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;18;Heuvelink, M.E.C.;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;19;van 't Foort, S.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;20;Treurniet-Klapwijk, W.A.;4;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;21;Mostert, I.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Kennedy-Doornbos, S.J.;8;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0
;;23;Ebid, E.K.;6;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Hofstra, H.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Kumar, A.D.J.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
