"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente 's-Hertogenbosch"
"Nummer";"";"0796"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Stadskantoor";"Stadsbibliotheek";"Wooncentrum Antoniegaarde";"Muziekcentrum De Toonzaal";"BS  Het Bossche Broek (centrum)";"Nutsschool L.W. Beekman";"Verkadefabriek";"Woon- en Zorgcentrum Nieuwehagen";"Stadsarchief";"Scouting Lucas";"Lucaskerk";"BS Het Bossche Broek (zuid)";"Brede Bossche School Zuid";"Provinciehuis";"Basisschool Oberon";"Park Eemwijk";"Zorgcentrum De Grevelingen";"Brede Bossche School de Graaf";"Brede Bossche School aan de Aa";"Verzamelgebouw Seringenstraat";"Welzijnsonderneming Divers";"Buurthuis Graafsewijk Noord";"Dependance Sancta Maria Mavo";"H. Sacramentskerk";"Dagactiviteitencentrum De Stijl";"Trefpunt De Slinger";"BBS-school Boschveld";"Steunpunt De Westhoek";"'t Buurthuis";"RK Annakerk";"Kindcentrum De Ontdekking";"Woonzorgcentrum De Taling";"BBS De Kruiskamp Zuid";"Gereformeerde Kerk";"BBS De Kruiskamp Noord";"Dagcentrum De Schalm";"Weener XL";"Nico Schuurmanshuis";"Novadic Kentron";"Avans Hogeschool";"Clubhuis Voetbalvereniging TGG";"Centrum voor Tandzorg";"Gymlokaal Klokkenlaan";"Jongerencentrum De Poort";"Steunpunt Epigoon";"Kindcentrum Wijboom";"SCC De Schans";"Montessorischool Merlijn";"Campanile Hotel";"Basisschool Meander";"Sociaal Cultureel Centrum d'n As";"Kindcentrum Caleidoscoop";"Basisschool 't Wikveld";"Jenaplanschool Antonius Abt";"Dorpshuis De Engelenburcht";"Tennisvereniging Engelen";"Mobiel stembureau";"Tijdelijke Unit Station";"Steunpunt van Meeuwenhof";"Sociaal Cultureel Centrum Perron- 3";"Basisschool De Krommenhoek";"Basisschool De Hobbit";"Gymlokaal BS De Overlaet";"Kindcentrum 't Ven";"HEVO Seniorenvereniging";"R.K. Basisschool De Troubadour";"Hub Noord-Brabant";"Vakschool Schilders - Stukadoors";"SCC de Biechten";"Kindcentrum Het IJzeren Kind";"Kindcentrum Meerlaer";"Rodenborch College";"EC 't Sparrenbos (De Vlek)";"Wijkonderkomen Rosmalen";"Wijkcentrum Windkracht 5";"Kindcentrum de Sprong";"Kindcentrum De Hoven";"B.O. De Witte Wielen";"Koning Willem I College";"Avans Hogeschool";"BBS Haren-Donk-Reit";"Verzorgingshuis Noorderkroon";"Activiteitencentrum Duinendaal";"Verzorgingshuis De Hooghe Clock";"BBS De Hambaken";"Dagcentrum Eygenweg";"Kindcentrum Sterrenbosch";"Tijdelijke Unit Maaspoort";"Basisschool 't Schrijverke";"Basisschool De Hoogakker";"Gemeenschapshuis De Meent";"Martinushuis";"Gemeenschapshuis 't Zijl"
"";"";"40";"Seyed Mehdi, F.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Kooij-Bas, A.E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"van Kranenburg, C.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"van den Berg, G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"Balootje, I.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Zaalen, F.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Haga, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"van der Spoel, P.L.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"Stoorvogel, H.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"49";"van der Veer, A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"50";"Bottenbley, O.E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"8";"GROENLINKS";"";"";"10218";"254";"352";"118";"22";"160";"149";"196";"81";"210";"118";"61";"204";"50";"53";"102";"96";"101";"155";"108";"125";"26";"79";"165";"96";"221";"292";"140";"72";"67";"111";"120";"76";"61";"82";"96";"52";"44";"76";"199";"69";"56";"124";"60";"73";"63";"100";"44";"119";"60";"127";"81";"84";"98";"115";"75";"83";"21";"603";"57";"224";"57";"120";"182";"140";"41";"89";"98";"48";"193";"122";"55";"127";"177";"26";"122";"54";"101";"15";"79";"187";"140";"63";"85";"103";"120";"64";"53";"166";"82";"13";"73";"32";"65"
"";"";"1";"Klaver, J.F.";"7171";"187";"232";"76";"16";"95";"95";"126";"58";"125";"85";"50";"146";"35";"25";"74";"64";"71";"112";"78";"83";"16";"50";"106";"61";"145";"178";"99";"54";"44";"89";"82";"57";"49";"64";"79";"37";"37";"43";"136";"50";"46";"87";"45";"58";"48";"70";"27";"83";"45";"85";"59";"62";"76";"81";"47";"51";"16";"395";"48";"158";"42";"88";"140";"101";"32";"63";"70";"30";"144";"76";"39";"86";"123";"16";"99";"38";"75";"10";"49";"126";"120";"51";"58";"69";"99";"50";"38";"139";"56";"10";"58";"27";"53"
"";"";"2";"Buitenweg, K.M.";"1068";"21";"40";"17";"3";"26";"28";"29";"8";"24";"11";"2";"20";"3";"7";"10";"11";"11";"10";"6";"14";"4";"7";"24";"11";"26";"48";"16";"6";"5";"6";"6";"4";"2";"9";"2";"4";"1";"12";"20";"9";"2";"13";"3";"5";"7";"10";"8";"13";"4";"21";"7";"13";"11";"14";"8";"11";"3";"65";"4";"25";"6";"8";"16";"21";"2";"8";"12";"9";"24";"14";"8";"20";"20";"5";"7";"3";"8";"3";"9";"16";"10";"7";"3";"11";"2";"5";"8";"12";"12";"1";"4";"3";"1"
"";"";"3";"van der Lee, T.M.T.";"21";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0"
"";"";"4";"Voortman, L.G.J.";"180";"2";"4";"1";"1";"4";"2";"2";"4";"6";"4";"0";"6";"1";"0";"2";"2";"1";"2";"6";"1";"1";"1";"1";"0";"6";"6";"3";"3";"1";"0";"2";"0";"3";"2";"0";"0";"1";"0";"5";"0";"0";"1";"2";"2";"0";"6";"1";"2";"3";"4";"2";"1";"2";"0";"0";"1";"0";"11";"1";"5";"1";"2";"1";"1";"0";"2";"3";"0";"5";"2";"0";"4";"1";"1";"2";"2";"4";"0";"2";"2";"2";"0";"1";"5";"0";"0";"0";"3";"2";"0";"0";"0";"2"
"";"";"5";"Grashoff, H.J.";"20";"1";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"van Tongeren, L.";"184";"5";"8";"4";"0";"3";"5";"6";"0";"4";"1";"2";"4";"0";"1";"0";"1";"2";"2";"5";"1";"1";"2";"9";"4";"3";"8";"1";"1";"1";"2";"6";"3";"0";"1";"0";"1";"0";"0";"6";"0";"2";"3";"2";"0";"4";"1";"2";"0";"1";"1";"2";"3";"0";"2";"1";"2";"0";"7";"1";"2";"1";"1";"8";"1";"2";"1";"1";"2";"0";"2";"0";"3";"3";"0";"3";"1";"2";"0";"2";"2";"0";"0";"1";"4";"2";"0";"0";"1";"1";"0";"0";"0";"1"
"";"";"7";"de Jonge van Ellemeet, C.E.";"45";"1";"3";"0";"0";"0";"1";"0";"0";"1";"1";"0";"2";"0";"0";"2";"1";"0";"0";"3";"1";"0";"0";"0";"0";"4";"2";"1";"1";"1";"1";"2";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"8";"Özdil, Z.";"37";"2";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0";"1";"2";"0";"0";"1";"1";"0";"0";"1";"3";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Snels, B.A.W.";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"van Ojik, A.";"54";"0";"0";"1";"0";"3";"0";"1";"0";"4";"1";"0";"1";"2";"1";"1";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"6";"0";"1";"0";"3";"0";"3";"0";"1";"1";"1";"2";"0";"2";"1";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"";"";"11";"Kröger, S.C.";"68";"0";"6";"0";"0";"0";"1";"2";"0";"4";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"1";"1";"2";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"9";"0";"2";"0";"0";"2";"0";"0";"1";"2";"0";"1";"1";"0";"1";"2";"0";"0";"0";"1";"0";"1";"4";"1";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"";"";"12";"Özütok, N.";"109";"2";"12";"3";"0";"1";"0";"3";"2";"1";"0";"0";"0";"0";"0";"1";"1";"1";"6";"4";"2";"0";"1";"1";"1";"3";"5";"0";"2";"1";"2";"2";"0";"3";"0";"3";"0";"0";"0";"2";"0";"1";"1";"1";"5";"0";"0";"0";"1";"1";"0";"1";"1";"0";"2";"1";"1";"0";"5";"0";"1";"0";"2";"0";"2";"1";"0";"1";"0";"1";"3";"0";"1";"1";"0";"0";"0";"2";"0";"1";"4";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"13";"Smeulders, P.H.M.";"394";"9";"8";"5";"0";"4";"5";"4";"2";"10";"4";"4";"8";"2";"3";"3";"5";"5";"3";"4";"9";"2";"6";"8";"9";"7";"18";"7";"2";"5";"3";"8";"5";"4";"2";"1";"3";"0";"4";"12";"1";"2";"3";"1";"0";"2";"4";"3";"10";"1";"3";"4";"1";"1";"1";"6";"9";"0";"18";"3";"13";"2";"5";"3";"5";"2";"3";"3";"0";"3";"6";"1";"8";"9";"0";"2";"4";"3";"2";"3";"6";"4";"1";"4";"2";"4";"3";"3";"2";"5";"1";"5";"1";"0"
"";"";"14";"Westerveld, E.M.";"198";"3";"6";"4";"0";"7";"3";"6";"0";"6";"1";"0";"2";"2";"9";"2";"1";"3";"4";"0";"5";"1";"2";"2";"1";"4";"3";"6";"0";"2";"2";"2";"0";"0";"2";"1";"2";"1";"2";"4";"4";"0";"2";"1";"0";"1";"2";"0";"1";"2";"1";"1";"0";"3";"4";"2";"0";"0";"16";"0";"3";"1";"7";"2";"4";"0";"2";"3";"0";"1";"2";"0";"1";"4";"2";"2";"2";"1";"0";"1";"6";"2";"0";"0";"2";"1";"2";"1";"2";"0";"0";"0";"0";"3"
"";"";"15";"Bromet, L.";"54";"1";"3";"1";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"3";"0";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"1";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"4";"3";"0";"0";"2";"0";"1";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1"
"";"";"16";"Renkema, W.J.T.";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"van Essen, H.P.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"van den Berge, C.N.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"Diks, L.I.";"224";"9";"11";"3";"0";"6";"3";"9";"1";"10";"3";"1";"2";"0";"1";"0";"2";"1";"4";"1";"2";"0";"6";"3";"2";"11";"5";"2";"1";"1";"2";"1";"2";"0";"0";"0";"1";"2";"5";"2";"1";"0";"4";"0";"0";"0";"1";"0";"2";"0";"5";"3";"1";"2";"5";"2";"3";"1";"21";"0";"3";"0";"1";"4";"1";"0";"2";"1";"1";"2";"4";"1";"1";"5";"0";"1";"2";"3";"0";"3";"4";"0";"0";"2";"1";"1";"0";"0";"4";"3";"0";"3";"1";"4"
"";"";"20";"van den Nieuwenhuijzen-Wittens, T.J.H.";"23";"0";"2";"0";"0";"1";"1";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"Mahtab, I.A.F.";"20";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Bouwkamp, C.C.";"98";"4";"1";"1";"0";"4";"2";"2";"1";"2";"1";"1";"2";"3";"2";"2";"2";"0";"3";"1";"0";"0";"0";"2";"1";"0";"4";"0";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0";"2";"6";"1";"0";"2";"2";"0";"0";"0";"0";"1";"1";"2";"0";"1";"1";"0";"4";"0";"0";"8";"0";"0";"3";"0";"4";"0";"0";"0";"0";"0";"0";"3";"2";"0";"2";"0";"0";"1";"0";"0";"0";"4";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"van den Bosch, D.";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"van der Steenhoven, M.V.";"27";"2";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0"
"";"";"25";"Bonte, A.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"van der Kleij, A.M.";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Kuipers, J.N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Arnoldussen, J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Duursma, J.";"10";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
