Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Utrechtse Heuvelrug;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1581;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Nieuw Salem;De Vijver;Sparrenheide;Kraaijbeekerhof;Beukenhorst;Parklaankerk;De Uilenburcht;Kerk De Bron;'t Hoge Licht;Ontmoetingskapel;Dorpskerk;Kerk De Ark;De Twee Marken;De Ark;Allemandswaard;De Ridderhof;De Buurthucht;Michaëlhuis;Meander;De Schermerij;De Binder;Cultuurhuis;Het Zonnehuis;Steinheim;Huize Beatrix;Park Boswijk
;;49;Terlouw, G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Ross, H.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
7;ChristenUnie;;;1337;39;42;63;43;61;38;54;75;83;44;31;24;55;51;82;62;72;43;39;42;50;82;39;53;39;31
;;1;Segers, G.M.;970;30;28;47;30;45;27;41;52;61;31;24;18;39;36;59;49;54;28;33;28;34;59;24;42;32;19
;;2;Schouten, C.J.;162;3;6;6;4;4;7;7;10;9;10;2;4;11;7;9;7;2;6;1;10;4;9;8;6;5;5
;;3;Voordewind, J.S.;26;1;2;3;2;0;1;1;2;3;0;0;1;0;0;2;1;0;1;0;0;2;1;1;0;1;1
;;4;Dik-Faber, R.K.;58;1;1;2;2;0;2;3;5;3;0;1;0;2;2;7;4;8;3;3;0;6;1;1;0;0;1
;;5;Bruins, E.E.W.;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;van der Graaf, S.J.F.;29;1;1;2;3;2;1;1;3;0;0;1;0;0;3;1;0;0;1;1;1;2;2;1;2;0;0
;;7;Ceder, D.G.M.;12;1;1;0;0;1;0;0;0;1;1;0;0;0;1;1;1;2;0;0;0;0;0;1;0;0;1
;;8;Vreugdenhil, H.J.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;9;Drost, N.;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;1;0;0;1;0;0;0;0
;;10;Gooijer-Medema, J.K.;13;0;1;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;1;1;1;0;0;2
;;11;Huisman, G.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Rots, D.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Tijhof, B.D.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
;;14;Grinwis, P.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Vlieg-Kempe, H.A.;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;16;Meijer, L.E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Janssen, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Heuvelink, M.E.C.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;19;van 't Foort, S.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;20;Treurniet-Klapwijk, W.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;21;Mostert, I.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Kennedy-Doornbos, S.J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;0;0;0
;;23;Ebid, E.K.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Hofstra, H.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Kumar, A.D.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Weigand-Timmer, H.A.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Visser, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Kaper-Hartenberg, E.T.;3;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;29;Krins, J.T.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;30;Schuring, H.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;31;van Tatenhove-Meesen, J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Joosten-Leijendekker, J.M.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Zuidervaart, L.M.;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Jaspers Faijer, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Jongman-Mollema, I.M.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;36;de Haan, J.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Baars, H.C.;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Visser, F.C.;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Klein, A.C.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;40;Seyed Mehdi, F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Kooij-Bas, A.E.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van Kranenburg, C.J.;8;1;1;1;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;43;van den Berg, G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Balootje, I.S.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;45;van Zaalen, F.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Haga, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;van der Spoel, P.L.R.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0
;;48;Stoorvogel, H.;8;0;0;0;1;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;49;van der Veer, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Bottenbley, O.E.;4;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
8;GROENLINKS;;;3136;206;145;157;193;152;115;168;188;205;129;62;50;136;87;94;64;33;98;78;83;115;192;92;112;105;77
;;1;Klaver, J.F.;1896;107;75;97;114;82;69;105;107;112;83;38;33;85;53;63;44;21;57;49;55;77;120;66;79;57;48
;;2;Buitenweg, K.M.;500;36;18;25;30;21;15;25;36;31;19;11;10;23;12;19;15;8;18;13;8;15;30;10;20;22;10
;;3;van der Lee, T.M.T.;14;1;0;3;1;0;0;3;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0
;;4;Voortman, L.G.J.;166;17;8;8;9;8;5;11;11;12;11;5;3;5;1;2;0;1;7;5;7;4;10;3;3;7;3
;;5;Grashoff, H.J.;10;0;1;1;0;2;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0
;;6;van Tongeren, L.;114;8;9;3;5;13;6;7;5;14;3;2;1;4;6;2;0;1;2;1;2;3;4;2;4;7;0
;;7;de Jonge van Ellemeet, C.E.;26;7;2;0;2;1;0;0;2;3;1;0;0;2;0;0;1;0;1;0;1;0;0;1;0;0;2
;;8;Özdil, Z.;13;1;2;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;6
;;9;Snels, B.A.W.;6;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;10;van Ojik, A.;39;3;5;4;1;4;1;1;1;2;0;0;0;2;0;0;0;0;2;1;5;2;1;1;0;2;1
;;11;Kröger, S.C.;17;1;1;3;3;2;0;0;1;1;0;0;0;0;1;0;2;0;0;0;0;0;0;2;0;0;0
;;12;Özütok, N.;47;2;3;2;4;4;2;2;6;5;0;3;0;1;0;1;0;0;0;1;1;1;6;0;2;1;0
;;13;Smeulders, P.H.M.;5;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
;;14;Westerveld, E.M.;42;3;4;3;1;1;0;1;6;3;4;0;1;4;3;1;0;0;0;1;1;2;2;1;0;0;0
;;15;Bromet, L.;32;1;4;1;2;0;1;1;3;7;2;0;0;2;1;1;0;0;3;0;0;0;2;0;0;0;1
;;16;Renkema, W.J.T.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;17;van Essen, H.P.;3;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van den Berge, C.N.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;19;Diks, L.I.;68;6;6;2;9;2;6;2;2;4;4;0;1;3;3;0;0;0;2;0;0;4;3;3;2;2;2
;;20;van den Nieuwenhuijzen-Wittens, T.J.H.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;21;Mahtab, I.A.F.;7;0;1;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0
;;22;Bouwkamp, C.C.;34;3;1;0;4;4;4;2;0;1;1;0;1;1;0;0;0;1;0;3;0;0;3;1;0;1;3
;;23;van den Bosch, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van der Steenhoven, M.V.;6;1;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;25;Bonte, A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;26;van der Kleij, A.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;27;Kuipers, J.N.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Arnoldussen, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Duursma, J.;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0
;;30;Önder, A.;25;3;1;1;6;0;3;1;3;2;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0
;;31;Vintges, V.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Bashara, S.R.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;33;Bellemakers, H.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;34;Smelik, C.W.;5;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1
;;35;Schers, S.R.M.;12;0;2;1;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0
;;36;Klijmij-van der Laan, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Piers, R.P.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Vermast, P.L.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Snaas, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;van Oort, K.J.H.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Hirsch, D.H.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;van Grootheest, G.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;43;van Hooijdonk, L.H.L.;14;1;1;0;1;2;0;2;0;1;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0
;;44;Kapteijns, F.H.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Scholten, H.T.M.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Muambi, A.O.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Homan-Brinkman, N.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;48;El Fassed, A.;3;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Rüter, J.S.;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;van Gent, W.;10;0;0;0;0;1;1;2;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0
9;Staatkundig Gereformeerde Partij (SGP);;;1297;53;29;35;28;72;16;27;29;20;29;62;13;20;60;74;38;287;105;36;32;44;66;42;38;16;26
;;1;van der Staaij, C.G.;1091;46;27;25;28;51;12;27;23;18;25;52;13;19;45;69;34;240;84;27;28;38;47;38;34;16;25
;;2;Dijkgraaf, E.;130;3;0;0;0;17;2;0;1;0;3;9;0;1;9;3;4;39;12;8;3;4;11;0;0;0;1
;;3;Bisschop, R.;14;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;6;2;1;0;1;0;0;0;0;0
;;4;Ruissen, H.J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;5;Stoffer, C.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Schipaanboord, G.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Kloosterman, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Tanis, J.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Veldman, J.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Nieuwenhuis, E.J.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Weggeman, A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Hoek, P.W.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;de Knegt, L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Flach, A.J.;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;15;van Wikselaar, W.;19;0;0;10;0;1;0;0;4;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0
;;16;van Leeuwen, G.R.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;17;Bosma, E.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Kok, W.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Bakker, T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Boonzaaijer, G.;29;0;1;0;0;2;0;0;0;1;0;0;0;0;4;0;0;1;5;0;0;1;7;3;4;0;0
;;21;Simonse, J.N.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;22;van Duijn, W.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van Westreenen, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van 't Land, J.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Noordergraaf, P.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Benschop, J.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Dorst, A.I.G.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van den Berg, W.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;de Vries, W.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Brouwer, M.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
10;Partij voor de Dieren;;;1183;71;65;59;63;67;33;54;41;62;44;24;27;48;28;38;25;23;24;34;40;33;97;46;57;45;35
;;1;Thieme, M.L.;937;52;54;44;48;53;25;44;31;49;34;16;23;41;24;31;20;18;19;31;34;28;80;34;47;32;25
;;2;Ouwehand, E.;77;3;9;5;3;8;3;3;3;3;3;2;1;2;2;2;2;1;2;1;3;1;6;2;2;5;0
;;3;van Raan, L.;10;0;2;2;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1
;;4;Wassenberg, F.P.;5;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;5;Arissen, F.M.;36;3;0;3;1;2;1;0;0;0;2;1;1;3;1;2;1;2;1;0;0;1;0;3;3;2;3
;;6;van Esch, E.M.;26;4;0;3;0;2;0;2;0;0;1;1;0;0;0;1;0;0;0;1;0;0;5;2;2;0;2
;;7;Teunissen, C.;10;1;0;1;2;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0
;;8;van Leeuwen, M.;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Koffeman, N.K.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;10;Engelen, E.R.;13;1;0;0;0;1;0;0;1;2;1;0;1;0;0;0;0;0;0;0;0;0;2;1;1;2;0
;;11;van Lammeren, J.F.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Akerboom, E.S.;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
;;13;van Liere, A.E.;4;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;14;van Voorthuizen, G.S.L.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van der Wel, M.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van der Veer, L.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Viegen, A.H.K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Keller, H.J.;26;2;0;1;5;1;1;4;1;5;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;2
;;19;van Doorn, M.E.C.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;20;Plusquin, P.S.M.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van der Velden, R.T.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Smit, I.R.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;23;Vestering, L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Travaille, A.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;de Wrede, K.;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van der Zanden, C.J.M.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Janssens, T.A.O.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Kosti?, I.;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;29;Hazekamp, A.A.H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Berendse, F.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;31;Biesheuvel, J.M.A.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;32;Cruiming, J.P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Dumon Tak, M.A.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Engelsman, V.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;de Haas, J.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;van der Heijden, A.F.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Herstel, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van der Steen, M.F.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Meijer, E.R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Mutsaers, C.J.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;41;Nicolaï, P.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Postma, A.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Rot, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Rotenstreich, M.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;de Schepper, T.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Schrijver, J.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Siebelink, J.G.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;48;van Veen, B.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0
;;49;Verbaan, G.C.;6;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1
;;50;Woesthoff, M.F.F.;3;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;50PLUS;;;792;24;31;26;18;21;17;44;30;43;32;19;19;33;16;42;30;23;29;31;51;48;32;31;47;37;18
;;1;Krol, H.C.M.;541;17;20;17;10;12;14;30;23;31;29;17;14;23;10;34;20;15;18;16;34;28;19;18;34;25;13
;;2;Sazias, L.;156;3;9;6;5;4;0;9;5;9;1;1;3;4;3;5;2;4;7;10;11;19;9;7;7;10;3
;;3;van Rooijen, M.J.;20;0;2;1;1;0;1;1;0;2;0;0;1;1;2;0;0;2;2;3;1;0;0;0;0;0;0
;;4;van Brenk, C.M.;38;0;0;2;0;3;2;4;1;1;1;0;1;3;1;2;2;1;0;0;2;0;3;2;5;2;0
;;5;van Otterloo, G.J.P.;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0
;;6;Geleijnse, S.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;7;Bode, E.M.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;2;0;0;0
;;8;Schrover, W.A.A.;5;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0
