Verkiezing;;Tweede Kamer der Staten-Generaal 2017;;;;;;;;;;
Datum;;15-3-2017;;;;;;;;;;
Gebied;;Gemeente Westervoort;;;;;;;;;;
Nummer;;293;;;;;;;;;;
;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Montessorischool;De Brug;De Bult Wijkcentrum;Het Startblok;Het Ravelijn;De Nieuwhof;Wesstar
;;19;Wijnans, F.P.E.;0;0;0;0;0;0;0;0;0
;;20;van Oudheusden, L.J.;0;0;0;0;0;0;0;0;0
;;21;Kleinpaste, G.J.;0;0;0;0;0;0;0;0;0
;;22;Stubbe, M.;0;0;0;0;0;0;0;0;0
;;23;Borghuis ook genaamd op de Borg, D.R.;0;0;0;0;0;0;0;0;0
;;24;Schönberger, R.A.;0;0;0;0;0;0;0;0;0
;;25;van Luxzenburg, E.;0;0;0;0;0;0;0;0;0
;;26;Bouyaara, O.;0;0;0;0;0;0;0;0;0
;;27;van den Dool, C.W.;0;0;0;0;0;0;0;0;0
;;28;Hofman, E.D.;0;0;0;0;0;0;0;0;0
;;29;Pasterkamp, J.D.;0;0;0;0;0;0;0;0;0
;;30;van Vuuren, M.;0;0;0;0;0;0;0;0;0
;;31;Biesma, A.R.;0;0;0;0;0;0;0;0;0
;;32;Gautier, J.T.N.;0;0;0;0;0;0;0;0;0
;;33;van Ravensteijn, L.S.;0;0;0;0;0;0;0;0;0
;;34;Ziegler, F.C.;0;0;0;0;0;0;0;0;0
;;35;Ventevogel, T.C.;0;0;0;0;0;0;0;0;0
;;36;Chaudry, K.A.;0;0;0;0;0;0;0;0;0
;;37;Poot, D.;0;0;0;0;0;0;0;0;0
21;Artikel 1;;;5;0;0;0;0;3;1;1;0
;;1;Simons, S.H.;4;0;0;0;0;2;1;1;0
;;2;Faïd, F.;0;0;0;0;0;0;0;0;0
;;3;Sins, B.E.;0;0;0;0;0;0;0;0;0
;;4;Akhechaa, A.;0;0;0;0;0;0;0;0;0
;;5;van Tricht, J.H.;0;0;0;0;0;0;0;0;0
;;6;van der Kooye, M.I.D.;0;0;0;0;0;0;0;0;0
;;7;Döll-Osei Ameyaw, P.;0;0;0;0;0;0;0;0;0
;;8;van Saarloos, S.C.;0;0;0;0;0;0;0;0;0
;;9;Basabose, O.;0;0;0;0;0;0;0;0;0
;;10;Dekker, M.;0;0;0;0;0;0;0;0;0
;;11;Hernández González, J.;1;0;0;0;0;1;0;0;0
;;12;Witte, R.S.B.;0;0;0;0;0;0;0;0;0
;;13;van de Vaate, G.;0;0;0;0;0;0;0;0;0
;;14;Leito, M.T.;0;0;0;0;0;0;0;0;0
;;15;van der Veen, J.;0;0;0;0;0;0;0;0;0
;;16;Bakker, A.M.T.;0;0;0;0;0;0;0;0;0
;;17;Wertheim, A.R.;0;0;0;0;0;0;0;0;0
;;18;Helberg, G.O.;0;0;0;0;0;0;0;0;0
;;19;Wekker, G.D.;0;0;0;0;0;0;0;0;0
;;20;Meulenbelt, A.H.;0;0;0;0;0;0;0;0;0
22;Niet Stemmers;;;6;1;1;2;0;0;1;1;0
;;1;Plasman, J.P.;3;0;0;2;0;0;0;1;0
;;2;Plasman, R.;0;0;0;0;0;0;0;0;0
;;3;Plasman, R.;0;0;0;0;0;0;0;0;0
;;4;van Vliet, W.;0;0;0;0;0;0;0;0;0
;;5;El Farougui, N.;1;1;0;0;0;0;0;0;0
;;6;Rhee, R.P.R.;0;0;0;0;0;0;0;0;0
;;7;Schwab, M.;0;0;0;0;0;0;0;0;0
;;8;Karga, Y.;0;0;0;0;0;0;0;0;0
;;9;Konya, S.;0;0;0;0;0;0;0;0;0
;;10;Held, R.A.J.;0;0;0;0;0;0;0;0;0
;;11;Pentinga, C.H.;0;0;0;0;0;0;0;0;0
;;12;Plasman-van Ligten, J.C.;2;0;1;0;0;0;1;0;0
23;Libertarische Partij (LP);;;5;2;0;0;0;2;1;0;0
;;1;Valentine, R.W.;2;1;0;0;0;0;1;0;0
;;2;Inen, A.Q.;0;0;0;0;0;0;0;0;0
;;3;Bouscher, N.;0;0;0;0;0;0;0;0;0
;;4;Pailer, S.;0;0;0;0;0;0;0;0;0
;;5;Hampton, M.W.;0;0;0;0;0;0;0;0;0
;;6;Backhuijs, W.Q.;0;0;0;0;0;0;0;0;0
;;7;Wessels, I.;0;0;0;0;0;0;0;0;0
;;8;Knispel, K.J.M.;3;1;0;0;0;2;0;0;0
;;9;Wassenaar, K.J.;0;0;0;0;0;0;0;0;0
;;10;van Ginkel, J.G.M.;0;0;0;0;0;0;0;0;0
;;11;de Vries, A.J.W.;0;0;0;0;0;0;0;0;0
;;12;Jansen, N.;0;0;0;0;0;0;0;0;0
;;13;Nagtegaal, S.;0;0;0;0;0;0;0;0;0
;;14;van der Wal, M.;0;0;0;0;0;0;0;0;0
;;15;Jansma, E.W.;0;0;0;0;0;0;0;0;0
;;16;Woudwijk, B.;0;0;0;0;0;0;0;0;0
;;17;Koopmans, S.F.P.;0;0;0;0;0;0;0;0;0
;;18;Manders, T.T.A.J.;0;0;0;0;0;0;0;0;0
24;Lokaal in de Kamer;;;6;1;0;0;0;1;1;2;1
;;1;Heijman, J.H.W.F.;5;1;0;0;0;0;1;2;1
;;2;van der Starre, J.J.;0;0;0;0;0;0;0;0;0
;;3;Stultiens, R.M.M.;0;0;0;0;0;0;0;0;0
;;4;Leever, J.H.;0;0;0;0;0;0;0;0;0
;;5;Kunst-van Suijlekom, G.P.;0;0;0;0;0;0;0;0;0
;;6;Kraaijenbrink, R.A.;0;0;0;0;0;0;0;0;0
;;7;Mandersloot, W.J.;0;0;0;0;0;0;0;0;0
;;8;van Pinxteren, W.F.C.;0;0;0;0;0;0;0;0;0
;;9;Nieuwenhuizen, N.;0;0;0;0;0;0;0;0;0
;;10;de Heer-Seveke, Y.J.P.M.;0;0;0;0;0;0;0;0;0
;;11;van Ruitenbeek-Schonewille, J.M.;0;0;0;0;0;0;0;0;0
;;12;El-Khassim, F.;0;0;0;0;0;0;0;0;0
;;13;Smit, F.;0;0;0;0;0;0;0;0;0
;;14;van der Kraats, A.B.;0;0;0;0;0;0;0;0;0
;;15;van de Sande, M.A.;0;0;0;0;0;0;0;0;0
;;16;Jansen, D.S.C.;0;0;0;0;0;0;0;0;0
;;17;Kwekkeboom, J.A.;0;0;0;0;0;0;0;0;0
;;18;Rosbak, E.R.;0;0;0;0;0;0;0;0;0
;;19;Louis, I.H.;0;0;0;0;0;0;0;0;0
;;20;Bolders, L.M.;0;0;0;0;0;0;0;0;0
;;21;van der Velde, A.;0;0;0;0;0;0;0;0;0
;;22;Frieman, H.B.;0;0;0;0;0;0;0;0;0
;;23;Valent-Groot, A.M.;0;0;0;0;0;0;0;0;0
;;24;de Bree, C.M.;0;0;0;0;0;0;0;0;0
;;25;Barends, R.;1;0;0;0;0;1;0;0;0
;;26;Dirkmaat, G.B.;0;0;0;0;0;0;0;0;0
;;27;Kloos, C.H.;0;0;0;0;0;0;0;0;0
25;JEZUS LEEFT;;;5;2;0;0;0;1;1;1;0
;;1;van der Spek, F.I.A.;4;2;0;0;0;1;1;0;0
;;2;Neyndorff, B.M.C.M.E.;0;0;0;0;0;0;0;0;0
;;3;Vlasman, B.C.;0;0;0;0;0;0;0;0;0
;;4;van Ooijen, J.A.C.;0;0;0;0;0;0;0;0;0
;;5;de Visser, W.;0;0;0;0;0;0;0;0;0
;;6;Winters, J.;1;0;0;0;0;0;0;1;0
26;StemNL;;;1;1;0;0;0;0;0;0;0
;;1;van den Eijnde, M.A.A.;1;1;0;0;0;0;0;0;0
;;2;van den Eijnde, D.H.A.;0;0;0;0;0;0;0;0;0
;;3;Ficken, M.;0;0;0;0;0;0;0;0;0
;;4;de Wit, W.P.A.J.J.;0;0;0;0;0;0;0;0;0
;;5;Hessing, W.;0;0;0;0;0;0;0;0;0
;;6;Fontein, M.L.C.;0;0;0;0;0;0;0;0;0
;;7;van Herp, J.;0;0;0;0;0;0;0;0;0
;;8;Schalk, C.F.;0;0;0;0;0;0;0;0;0
;;9;van Rijsingen, M.H.W.;0;0;0;0;0;0;0;0;0
;;10;Aydi, S.;0;0;0;0;0;0;0;0;0
;;11;Post, M.;0;0;0;0;0;0;0;0;0
;;12;Goldschmitz, J.A.R.P.;0;0;0;0;0;0;0;0;0
;;13;Nabi, G.R.;0;0;0;0;0;0;0;0;0
;;14;Griekspoor, E.;0;0;0;0;0;0;0;0;0
;;15;Acosta, M.d.L.;0;0;0;0;0;0;0;0;0
;;16;Berghuis, A.W.;0;0;0;0;0;0;0;0;0
;;17;Dijkstra, J.S.;0;0;0;0;0;0;0;0;0
;;18;van der Kooij, D.;0;0;0;0;0;0;0;0;0
;;19;Bakker, B.;0;0;0;0;0;0;0;0;0
27;MenS en Spirit / Basisinkomen Partij / V-R;;;7;2;0;0;1;1;0;1;2
;;1;Fonk, T.Y.;3;0;0;0;0;1;0;1;1
;;2;Jacobs, S.H.M.;1;0;0;0;0;0;0;0;1
;;3;Brinkerink, Y.;0;0;0;0;0;0;0;0;0
;;4;Busio, P.G.;0;0;0;0;0;0;0;0;0
;;5;Vellekoop, R.;0;0;0;0;0;0;0;0;0
;;6;Storms, J.M.J.;0;0;0;0;0;0;0;0;0
;;7;Zanda, F.W.;1;1;0;0;0;0;0;0;0
;;8;Smit, H.R.M.P.;0;0;0;0;0;0;0;0;0
;;9;Diepenhorst, R.R.R.;1;1;0;0;0;0;0;0;0
;;10;Verhoeven, R.F.;0;0;0;0;0;0;0;0;0
;;11;de Boer, R.J.;0;0;0;0;0;0;0;0;0
;;12;Streuper, P.;0;0;0;0;0;0;0;0;0
;;13;van Welt, T.J.B.;0;0;0;0;0;0;0;0;0
;;14;Hakkel, F.J.W.;0;0;0;0;0;0;0;0;0
;;15;Vlug, P.E.;0;0;0;0;0;0;0;0;0
;;16;Korver, M.;0;0;0;0;0;0;0;0;0
;;17;van der Zon, R.J.B.;1;0;0;0;1;0;0;0;0
;;18;Schaefer, I.;0;0;0;0;0;0;0;0;0
;;19;de Beer, J.M.L.;0;0;0;0;0;0;0;0;0
;;20;Karis, A.;0;0;0;0;0;0;0;0;0
;;21;Teunissen, G.;0;0;0;0;0;0;0;0;0
;;22;Hertroys, F.A.;0;0;0;0;0;0;0;0;0
;;23;van Swieten, L.;0;0;0;0;0;0;0;0;0
;;24;van Balkum, E.;0;0;0;0;0;0;0;0;0
;;25;Verschuur, L.W.;0;0;0;0;0;0;0;0;0
;;26;Mauritz, H.;0;0;0;0;0;0;0;0;0
;;27;Klein, H.M.;0;0;0;0;0;0;0;0;0
;;28;Kuiper, T.R.M.;0;0;0;0;0;0;0;0;0
;;29;Kroek, L.J.P.;0;0;0;0;0;0;0;0;0
;;30;Kuiper, J.J.;0;0;0;0;0;0;0;0;0
