"Verkiezing";"";"Tweede Kamer der Staten-Generaal 2017"
"Datum";"";"2017-03-15"
"Gebied";"";"Gemeente Geldrop-Mierlo"
"Nummer";"";"1771"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Gemeentehuis Geldrop";"Basisschool de Dommeldal";"Nutsbasisschool Beneden Beekloop";"Basisschool St. Jozef";"Gemeenschapshuis Zesgehuchten";"Basisschool de Ganzebloem";"Basisschool de Ganzebloem";"Zorgcentrum Akert";"Wijkcentrum de Dreef";"Nutsbas.sch. de Regenboog";"Maison St. Cyr";"Strabrecht College";"DvO St.Jozefplein";"DvO Kettingstraat";"Bas.school 't Vijfblad";"Korein Kinderplein Wersakker";"Bibliotheek Mierlo";"Jongerencentrum 't Loesje";"Bas.school St.Lucia";"Gemeenschapshuis 't Patronaat"
"";"";"35";"de Korte-Verhoef, M.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"Bergkamp, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"de Haan, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"van Opstal, J.M.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Gardeniers, B.H.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Bal, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Vrugt, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"van Dekken, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"Vloet, W.J.M.M.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"von Martels, M.R.H.M.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"";"";"45";"van der Broek, J.M.A.R.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Roefs, J.H.J.M.";"48";"0";"0";"0";"0";"5";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"5";"12";"6";"13";"6"
"";"";"47";"Hanssen, W.L.G.";"9";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"0";"2";"0";"0";"0";"3"
"";"";"48";"Leenders, P.P.H.A.";"35";"1";"0";"2";"2";"0";"0";"6";"3";"2";"3";"0";"4";"5";"1";"1";"1";"4";"0";"0";"0"
"";"";"49";"van de Ven, J.M.H.";"9";"2";"0";"0";"1";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0"
"";"";"50";"van de Vondervoort, H.G.M.";"9";"1";"2";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0"
"6";"Democraten 66 (D66)";"";"";"3008";"183";"137";"227";"184";"233";"157";"216";"136";"117";"108";"90";"106";"81";"114";"120";"184";"145";"139";"139";"192"
"";"";"1";"Pechtold, A.";"2143";"126";"91";"156";"140";"157";"110";"135";"99";"89";"82";"69";"77";"57";"86";"85";"127";"102";"113";"109";"133"
"";"";"2";"van Veldhoven, S.";"162";"14";"9";"15";"8";"13";"8";"10";"13";"3";"5";"4";"5";"5";"7";"8";"6";"13";"3";"3";"10"
"";"";"3";"Koolmees, W.";"17";"0";"2";"2";"2";"2";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"3";"2";"0";"0"
"";"";"4";"Dijkstra, P.A.";"270";"20";"20";"20";"10";"27";"10";"27";"10";"12";"7";"7";"8";"10";"8";"8";"20";"11";"7";"11";"17"
"";"";"5";"van Engelshoven, I.K.";"15";"2";"0";"1";"0";"0";"0";"3";"1";"1";"0";"2";"0";"0";"0";"1";"0";"1";"1";"1";"1"
"";"";"6";"Bergkamp, V.A.";"19";"1";"0";"1";"1";"1";"1";"1";"1";"2";"1";"0";"0";"1";"1";"1";"2";"0";"1";"2";"1"
"";"";"7";"Verhoeven, K.";"11";"0";"0";"2";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1"
"";"";"8";"van Meenen, P.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Paternotte, J.M.";"7";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"2";"0"
"";"";"10";"Van Weyenberg, S.P.R.A.";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"Sjoerdsma, S.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Jetten, R.A.A.";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"Van Eijs, J.M.";"272";"15";"11";"22";"18";"20";"21";"27";"6";"7";"11";"6";"12";"2";"10";"14";"19";"9";"9";"8";"25"
"";"";"14";"Belhaj, S.";"6";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"";"";"15";"Groothuizen, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"Bouali, A.";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"Raemakers, R.";"8";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"1";"2"
"";"";"18";"Diertens, A.E.";"8";"0";"0";"1";"0";"1";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"";"";"19";"de Groot, T.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"den Boer, M.G.W.";"15";"0";"0";"1";"1";"0";"1";"6";"2";"1";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0"
"";"";"21";"Sienot, M.F.";"2";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Sneller, J.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Schonis, R.A.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"van Beukering-Huijbregts, M.J.T.G.";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"";"";"25";"Meijer, A.A.";"5";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0"
"";"";"26";"Eurlings-Tonnaer, F.M.C.L.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Ramlal, M.R.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"van Bemmel, M.E.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"";"";"29";"Lamers, C.B.M.";"4";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"30";"van Essen, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"Verbrugge-Wormgoor, D.C.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"";"";"32";"van der Laan, J.M.P.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Zarroy, N.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"1"
"";"";"34";"Winkel, B.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"Bamenga, P.";"13";"2";"2";"0";"1";"3";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1"
"";"";"36";"Sanders, N.P.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"37";"Guernaoui, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Kat, H.";"4";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"39";"Keij, E.J.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0"
"";"";"40";"Bosman, A.M.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Schukking, S.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"Schepel, W.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"Glastra van Loon, J.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"van Vugt, T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Dun, C.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Wirken, S.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"de Smoker-van Andel, N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"Hoogeveen, T.C.";"2";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"49";"Terlouw, G.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"50";"Ross, H.J.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"7";"ChristenUnie";"";"";"299";"23";"13";"14";"28";"29";"8";"15";"15";"26";"17";"14";"7";"13";"7";"24";"6";"11";"7";"7";"15"
"";"";"1";"Segers, G.M.";"200";"16";"7";"10";"19";"15";"8";"10";"13";"12";"12";"11";"5";"10";"6";"14";"5";"8";"3";"4";"12"
"";"";"2";"Schouten, C.J.";"38";"3";"2";"2";"3";"4";"0";"1";"2";"5";"3";"2";"0";"1";"1";"1";"1";"2";"1";"2";"2"
"";"";"3";"Voordewind, J.S.";"5";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0"
"";"";"4";"Dik-Faber, R.K.";"11";"1";"0";"0";"2";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0";"1"
"";"";"5";"Bruins, E.E.W.";"4";"0";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"van der Graaf, S.J.F.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"7";"Ceder, D.G.M.";"9";"1";"0";"0";"0";"2";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"8";"Vreugdenhil, H.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"9";"Drost, N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"Gooijer-Medema, J.K.";"5";"0";"1";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"11";"Huisman, G.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"12";"Rots, D.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"13";"Tijhof, B.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"14";"Grinwis, P.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"15";"Vlieg-Kempe, H.A.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"Meijer, L.E.";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"Janssen, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"Heuvelink, M.E.C.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"";"";"19";"van 't Foort, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"20";"Treurniet-Klapwijk, W.A.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"21";"Mostert, I.G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Kennedy-Doornbos, S.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"23";"Ebid, E.K.";"16";"0";"1";"0";"0";"5";"0";"0";"0";"2";"1";"0";"1";"2";"0";"3";"0";"0";"1";"0";"0"
"";"";"24";"Hofstra, H.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"Kumar, A.D.J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"26";"Weigand-Timmer, H.A.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"27";"Visser, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Kaper-Hartenberg, E.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Krins, J.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Schuring, H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"31";"van Tatenhove-Meesen, J.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"Joosten-Leijendekker, J.M.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Zuidervaart, L.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"Jaspers Faijer, B.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"Jongman-Mollema, I.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"36";"de Haan, J.T.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"";"";"37";"Baars, H.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Visser, F.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Klein, A.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"Seyed Mehdi, F.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Kooij-Bas, A.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"van Kranenburg, C.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"van den Berg, G.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"44";"Balootje, I.S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"45";"van Zaalen, F.P.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"46";"Haga, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"47";"van der Spoel, P.L.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"48";"Stoorvogel, H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"49";"van der Veer, A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"50";"Bottenbley, O.E.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"8";"GROENLINKS";"";"";"1961";"127";"97";"180";"85";"141";"98";"108";"77";"115";"110";"88";"61";"68";"90";"88";"79";"98";"90";"72";"89"
"";"";"1";"Klaver, J.F.";"1468";"100";"72";"125";"64";"103";"67";"74";"51";"91";"75";"67";"48";"50";"65";"68";"57";"83";"80";"57";"71"
"";"";"2";"Buitenweg, K.M.";"204";"10";"18";"25";"12";"12";"15";"17";"13";"11";"19";"7";"4";"6";"7";"6";"7";"6";"3";"4";"2"
"";"";"3";"van der Lee, T.M.T.";"5";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
"";"";"4";"Voortman, L.G.J.";"41";"3";"0";"2";"0";"6";"0";"5";"2";"2";"1";"0";"2";"3";"1";"3";"2";"3";"1";"3";"2"
"";"";"5";"Grashoff, H.J.";"3";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"6";"van Tongeren, L.";"31";"0";"0";"5";"1";"2";"1";"2";"0";"2";"1";"5";"0";"1";"2";"1";"2";"0";"3";"1";"2"
"";"";"7";"de Jonge van Ellemeet, C.E.";"8";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"1";"0"
"";"";"8";"Özdil, Z.";"7";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"1"
"";"";"9";"Snels, B.A.W.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"10";"van Ojik, A.";"5";"1";"0";"1";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"11";"Kröger, S.C.";"11";"1";"0";"2";"0";"1";"1";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1"
"";"";"12";"Özütok, N.";"22";"1";"0";"5";"0";"3";"0";"0";"1";"3";"1";"0";"0";"1";"2";"3";"1";"0";"0";"1";"0"
"";"";"13";"Smeulders, P.H.M.";"26";"1";"2";"1";"0";"1";"3";"1";"3";"1";"2";"2";"1";"0";"2";"1";"1";"0";"0";"2";"2"
"";"";"14";"Westerveld, E.M.";"38";"2";"5";"5";"3";"4";"2";"1";"1";"1";"1";"1";"2";"2";"4";"1";"1";"0";"0";"0";"2"
"";"";"15";"Bromet, L.";"5";"2";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"16";"Renkema, W.J.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"17";"van Essen, H.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"18";"van den Berge, C.N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"19";"Diks, L.I.";"28";"2";"0";"2";"4";"3";"1";"2";"2";"3";"3";"0";"1";"0";"2";"0";"0";"0";"0";"0";"3"
"";"";"20";"van den Nieuwenhuijzen-Wittens, T.J.H.";"16";"0";"0";"1";"1";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"5";"1";"0";"1";"2"
"";"";"21";"Mahtab, I.A.F.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"22";"Bouwkamp, C.C.";"12";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"4";"0";"1";"1";"1";"0";"1";"0";"0";"1"
"";"";"23";"van den Bosch, D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"24";"van der Steenhoven, M.V.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"";"";"25";"Bonte, A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"";"";"26";"van der Kleij, A.M.";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0"
"";"";"27";"Kuipers, J.N.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"28";"Arnoldussen, J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"29";"Duursma, J.";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"30";"Önder, A.";"5";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"";"";"31";"Vintges, V.A.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"32";"Bashara, S.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"33";"Bellemakers, H.A.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"34";"Smelik, C.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"35";"Schers, S.R.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"";"";"36";"Klijmij-van der Laan, M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"";"";"37";"Piers, R.P.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"38";"Vermast, P.L.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"39";"Snaas, M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"40";"van Oort, K.J.H.A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"41";"Hirsch, D.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"42";"van Grootheest, G.J.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"";"";"43";"van Hooijdonk, L.H.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
